nconst,primaryName,birthYear,category,popularity,actor_image,knownForTitles,tconst_in_db
nm0223738,Bobby Di Cicco,1954,actor,5.152,https://image.tmdb.org/t/p/w200//lwXDYCPw99c0nndodoh1OmpvWWz.jpg,"tt0078723,tt0077714,tt0087910,tt0080437",['tt0080437']
nm0224214,Nicola Di Pinto,1947,actor,1.978,https://image.tmdb.org/t/p/w200//1TCh4CylEp4uLIaM2o2N6YSyyZg.jpg,"tt0337776,tt0086779,tt0095765,tt0120731",['tt0110917']
nm0224441,Mircea Diaconu,1949,actor,1.4,https://image.tmdb.org/t/p/w200//8bUoIseaEJHGAmwaI0KZHhdXPzM.jpg,"tt0077120,tt0309999,tt0314067,tt1519468",['tt0115577']
nm0225899,Frédéric Diefenthal,1968,actor,3.423,https://image.tmdb.org/t/p/w200//8PTUTBeUACLVpt8waRgkyGnsEBk.jpg,"tt0295721,tt0152930,tt0183869,tt0804540",['tt0152930']
nm0226699,Bogdan Diklic,1953,actor,3.032,https://image.tmdb.org/t/p/w200//rgyl6SbqxsAHZ0C2ggYJo9Sonwm.jpg,"tt0347105,tt1401672,tt2316929,tt0283509",['tt0169145']
nm0226947,Bradford Dillman,1930,actor,4.361,https://image.tmdb.org/t/p/w200//hMu3bG27HBzlGGtAKFl2B4IY3Xr.jpg,"tt0078087,tt0052700,tt0067065,tt0074483","['tt0052700', 'tt0070903']"
nm0227039,Melinda Dillon,1939,actress,12.905,https://image.tmdb.org/t/p/w200//fefn6cQaU05EuklP25foT4xOc7I.jpg,"tt0085334,tt0175880,tt0093148,tt0075860",['tt0075860']
nm0227958,Stefano Dionisi,1966,actor,5.155,https://image.tmdb.org/t/p/w200//qV9KyDhb0AuxHYMUr1UqhbBPhb.jpg,"tt0105739,tt0463283,tt0177746,tt0113483",['tt0115479']
nm0228013,Djibril Diop Mambéty,1945,actor,0.652,https://image.tmdb.org/t/p/w200//qP0a19xyKBoAY22ZsnJJy9Okfm6.jpg,"tt0070820,tt0196848,tt0201445,tt0104467",['tt0104467']
nm0228853,Ivan Dixon,1931,actor,2.542,https://image.tmdb.org/t/p/w200//6qMKPPqYDXDAztBaQS3WoZM0CqX.jpg,"tt0058414,tt0070726,tt0096684,tt0061098",['tt0058414']
